# timecode file relating frames of AVI file to AER timestamps
# written Wed Apr 22 11:18:52 CEST 2015
# frameNumber timestamp
0 134846792 # kaputt
1 134887364
2 134927936
3 134968508
4 135009080
5 135049652
6 135090224
7 135130795
8 135171367
9 135211939
10 135252511
11 135293083
12 135333655
13 135374227
14 135414799
15 135455371
16 135495943
17 135536515
18 135577087
19 135617659
20 135658231
21 135698803
