1234581	64	157	0	1
1234613	64	156	0	2
1234619	22	139	1	3
1234638	64	156	0	4
1234670	64	155	0	5
1234695	64	155	0	6
1234696	22	138	1	7
1234726	64	154	0	8
1234751	64	154	0	9
1234773	22	137	1	10
1234782	64	153	0	11
1234807	64	153	0	12
1234838	64	152	0	13
1234850	22	136	1	14
1234863	64	152	0	15
1234893	64	151	0	16
1234918	64	151	0	17
1234925	22	135	1	18
1234949	64	150	0	19
1234973	64	150	0	20
1235001	22	134	1	21
1235004	64	149	0	22
1235028	64	149	0	23
1235059	64	148	0	24
1235076	22	133	1	25
1235083	64	148	0	26
1235113	64	166	1	27
1235113	64	147	0	28
1235138	64	147	0	29
1235150	22	132	1	30
1235167	64	146	0	31
1235168	64	146	1	32
1235182	63	166	1	33
1235191	64	146	0	34
1235222	64	145	0	35
1235224	22	131	1	36
1235245	64	145	0	37
1235251	62	166	1	38
1235276	64	144	0	39
1235297	22	130	1	40
1235298	22	130	1	41
1235299	64	144	0	42
1235320	61	166	1	43
1235329	64	143	0	44
1235352	64	143	0	45
1235370	22	129	1	46
1235371	22	129	1	47
1235382	64	142	0	48
1235388	60	166	1	49
1235406	64	142	0	50
1235435	64	141	0	51
1235443	22	128	1	52
1235456	59	166	1	53
1235458	64	141	0	54
1235488	64	140	0	55
1235511	64	140	0	56
1235515	22	127	1	57
1235523	58	166	1	58
1235540	64	139	0	59
1235564	64	139	0	60
1235586	22	126	1	61
1235590	57	166	1	62
1235592	64	138	0	63
1235615	64	138	0	64
1235644	64	137	0	65
1235656	56	166	1	66
1235667	64	137	0	67
1235681	23	166	1	68
1235696	64	136	0	69
1235703	63	125	0	70
1235719	64	136	0	71
1235722	55	166	1	72
1235730	63	125	0	73
1235747	64	135	0	74
1235752	23	165	1	75
1235752	62	125	0	76
1235770	64	135	0	77
1235779	62	125	0	78
1235787	54	166	1	79
1235788	54	166	1	80
1235799	64	134	0	81
1235801	61	125	0	82
1235821	64	134	0	83
1235822	23	164	1	84
1235828	61	125	0	85
1235850	64	133	0	86
1235850	60	125	0	87
1235853	53	166	1	88
1235872	64	133	0	89
1235877	60	125	0	90
1235892	23	163	1	91
1235899	59	125	0	92
1235900	64	132	0	93
1235918	52	166	1	94
1235922	64	132	0	95
1235925	59	125	0	96
1235947	58	125	0	97
1235951	64	131	0	98
1235962	23	162	1	99
1235973	58	125	0	100
1235973	64	131	0	101
1235982	51	166	1	102
1235996	57	125	0	103
1236000	64	130	0	104
1236021	57	125	0	105
1236022	64	130	0	106
1236031	23	161	1	107
1236043	56	125	0	108
1236046	50	166	1	109
1236050	64	129	0	110
1236069	56	125	0	111
1236072	64	129	0	112
1236091	55	125	0	113
1236099	23	160	1	114
1236100	64	128	0	115
1236110	49	166	1	116
1236117	55	125	0	117
1236122	64	128	0	118
1236139	54	125	0	119
1236149	64	127	0	120
1236164	54	125	0	121
1236167	23	159	1	122
1236171	64	127	0	123
1236173	48	166	1	124
1236186	53	125	0	125
1236198	64	126	0	126
1236211	53	125	0	127
1236220	64	126	0	128
1236233	52	125	0	129
1236235	47	166	1	130
1236235	23	158	1	131
1236236	47	166	1	132
1236247	64	125	0	133
1236258	52	125	0	134
1236269	64	125	0	135
1236280	51	125	0	136
1236298	46	166	1	137
1236302	23	157	1	138
1236305	51	125	0	139
1236326	50	125	0	140
1236351	50	125	0	141
1236359	45	166	1	142
1236360	45	166	1	143
1236368	23	156	1	144
1236373	49	125	0	145
1236397	49	125	0	146
1236419	48	125	0	147
1236421	44	166	1	148
1236434	23	155	1	149
1236443	48	125	0	150
1236465	47	125	0	151
1236482	43	166	1	152
1236489	47	125	0	153
1236500	23	154	1	154
1236510	46	125	0	155
1236535	46	125	0	156
1236543	42	166	1	157
1236556	45	125	0	158
1236565	23	153	1	159
1236580	45	125	0	160
1236601	44	125	0	161
1236604	41	166	1	162
1236625	44	125	0	163
1236630	23	152	1	164
1236646	43	125	0	165
1236664	40	166	1	166
1236670	43	125	0	167
1236691	42	125	0	168
1236694	23	151	1	169
1236715	42	125	0	170
1236723	39	166	1	171
1236735	41	125	0	172
1236758	23	150	1	173
1236759	41	125	0	174
1236779	40	125	0	175
1236782	38	166	1	176
1236803	40	125	0	177
1236821	23	149	1	178
1236824	39	125	0	179
1236840	37	166	1	180
1236841	37	166	1	181
1236847	39	125	0	182
1236867	38	125	0	183
1236868	38	125	1	184
1236884	23	148	1	185
1236891	38	125	0	186
1236899	36	166	1	187
1236900	36	166	1	188
1236911	37	125	0	189
1236935	37	125	0	190
1236947	23	147	1	191
1236955	36	125	0	192
1236958	35	166	1	193
1236978	36	125	0	194
1236998	35	125	0	195
1237009	23	146	1	196
1237015	34	166	1	197
1237021	35	125	0	198
1237041	34	125	0	199
1237060	65	165	0	200
1237064	34	125	0	201
1237070	23	145	1	202
1237072	33	166	1	203
1237080	65	165	0	204
1237084	33	125	0	205
1237105	65	164	0	206
1237107	33	125	0	207
1237124	65	164	0	208
1237126	32	125	0	209
1237127	32	125	1	210
1237129	32	166	1	211
1237131	23	144	1	212
1237149	65	163	0	213
1237149	32	125	0	214
1237169	65	163	0	215
1237169	31	125	0	216
1237186	31	166	1	217
1237192	23	143	1	218
1237192	31	125	0	219
1237193	65	162	0	220
1237194	65	162	1	221
