200124150	31	48	1	1
200124151	76	140	1	2
200124182	87	145	1	3
200124232	41	47	0	4
200124240	76	141	1	5
200124274	42	46	0	6
200124279	76	139	1	7
200124279	86	134	1	8
200124301	34	49	1	9
200124302	34	49	0	10
200124319	32	32	0	11
200124348	85	146	1	12
200124351	89	138	1	13
200124355	78	135	1	14
200124440	83	133	1	15
200124442	89	141	1	16
200124449	82	133	1	17
200124457	77	136	1	18
200124462	26	41	0	19
200124490	79	134	1	20
200124498	76	138	1	21
200124500	26	39	0	22
200124510	37	49	0	23
200124513	80	146	0	24
200124550	27	36	0	25
200124566	84	133	1	26
200124581	39	33	0	27
200124583	81	133	1	28
200124583	88	143	1	29
200124620	89	139	1	30
200124635	89	140	1	31
200124640	84	146	1	32
200124652	86	145	1	33
200124670	30	33	0	34
200124721	40	48	0	35
200124728	26	40	0	36
200124742	87	144	1	37
200124814	27	44	0	38
200124818	36	32	0	39
200124827	80	133	1	40
200124830	76	137	1	41
200124841	33	32	0	42
200124861	82	146	1	43
200124874	43	45	0	44
200124912	78	134	1	45
200124913	77	135	1	46
200124916	76	142	1	47
200124964	85	133	1	48
200124983	44	41	0	49
200124998	38	49	0	50
200125013	88	142	1	51
200125039	85	145	1	52
200125046	34	32	0	53
200125081	29	34	0	54
200125088	35	32	0	55
200125092	28	35	0	56
200125095	44	42	0	57
200125106	79	133	1	58
200125113	43	37	1	59
200125115	44	40	0	60
200125150	76	136	1	61
200125191	79	145	0	62
200125212	87	143	1	63
200125228	86	144	1	64
200125281	82	132	1	65
200125289	84	145	1	66
200125304	88	141	1	67
200125315	81	132	1	68
200125344	83	132	1	69
200125360	77	134	1	70
200125424	78	133	1	71
200125426	44	43	0	72
200125426	75	139	1	73
200125445	75	138	1	74
200125461	80	132	1	75
200125466	76	135	1	76
200125485	80	145	0	77
200125489	83	145	1	78
200125522	31	33	0	79
200125543	84	132	1	80
200125549	85	144	1	81
200125549	88	140	1	82
200125567	87	142	1	83
200125573	27	37	0	84
200125592	75	137	1	85
200125636	75	140	1	86
200125641	79	132	1	87
200125645	86	143	1	88
200125668	78	144	0	89
200125670	39	49	0	90
200125680	42	47	1	91
200125681	42	47	0	92
200125702	88	139	1	93
200125724	88	137	1	94
200125725	88	137	0	95
200125758	88	138	1	96
200125765	75	136	1	97
200125770	77	133	1	98
200125801	76	134	1	99
200125822	84	144	1	100
200125834	41	48	0	101
200125869	86	133	1	102
200125882	78	132	1	103
200125884	87	141	1	104
200125929	81	131	1	105
200125953	82	131	1	106
200125957	43	46	0	107
200125980	85	143	1	108
200125986	80	131	1	109
200125988	83	144	1	110
200126003	75	135	1	111
200126011	86	142	1	112
200126026	79	144	0	113
200126037	85	132	1	114
200126051	77	143	0	115
200126066	83	131	1	116
200126075	44	44	0	117
200126101	76	133	1	118
200126118	79	131	1	119
200126120	82	144	1	120
200126121	87	140	1	121
200126127	105	37	0	122
200126130	77	132	1	123
200126165	81	144	1	124
200126176	76	142	0	125
200126215	84	143	1	126
200126225	75	134	1	127
200126245	28	36	0	128
200126268	27	38	0	129
200126277	78	131	1	130
200126282	30	34	0	131
